symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensgene
PSMB1,2261.3130333426734,0.028632987582812262,0.12582028147313978,0.22757052557480453,0.8199801359222473,0.9859364308720764,ENSG00000008018
SPDYA,19.7123072970034,-0.5242997164416231,0.6794002458882161,-0.7717096359836876,0.4402864222703177,0.9083960691007255,ENSG00000163806
ZNF3,494.90933702944966,0.1416860446184633,0.1746550339257206,0.8112336726505188,0.41723149176935503,0.9006883537427229,ENSG00000166526
CEBPD,73.19153836788877,-0.517938148624643,0.3936970639064483,-1.3155753397940435,0.18831661499073044,0.7638842446796631,ENSG00000221869
WNK2,18.995115748736396,-0.5939756789419792,0.8348860125505304,-0.7114452392457942,0.4768083735659824,0.9155383104461579,ENSG00000165238
ZNF708,86.67669686500929,-0.2064934899717659,0.49101006465352165,-0.4205483855355935,0.6740848903148957,0.965203673309017,ENSG00000182141
EIF5A2,91.21034601783526,0.6677534011982376,0.3555485455451875,1.8780934687113526,0.06036837966496664,0.5306412868521555,ENSG00000163577
EML4,1081.0889795176333,-0.1924665134725006,0.13980728259097305,-1.3766558501504527,0.16861867472826192,0.7467532462722276,ENSG00000143924
NR2C1,368.21202680314195,-0.45160533058896,0.25224443286578774,-1.7903480582631794,0.07339797490298441,0.5767863565796717,ENSG00000120798
TACSTD2,21509.774415955486,-0.00777673573216156,0.15033499357947572,-0.0517293781507386,0.9587443281920504,0.996288213787016,ENSG00000184292
BCS1L,375.02259751714354,0.05887827793677114,0.1797458422470686,0.32756406045732256,0.7432412995020857,0.9761130857203433,ENSG00000074582
VPS37C,399.61280025844667,0.19475979778551847,0.16512013756216642,1.1795036066524167,0.2381977013940091,0.8050186131705602,ENSG00000167987
DENR,1307.2632274859184,-0.15055446485078647,0.14594141472376626,-1.031608917425884,0.3022553612380695,0.8451365659064463,ENSG00000139726
MX1,428.5377054296637,2.2211670383783986,0.5586711129062277,3.975804345465091,7.014177647430158e-5,0.005726806273063362,ENSG00000157601
TOM1L1,699.592660260926,-0.05980168595900334,0.15559245507285657,-0.38434823803635626,0.7007203596499748,0.9697873520710459,ENSG00000141198
PIK3C3,546.2893257100285,0.3851415190424888,0.263675531347043,1.4606646171334545,0.1441075037643633,0.7169515230460527,ENSG00000078142
GPRIN1,74.30281732851778,0.18072813622252507,0.30324080633918926,0.5959888393792624,0.5511826825431718,0.9369083781467102,ENSG00000169258
MED13,911.8583129770777,-0.32218659858662413,0.16491867359710183,-1.9536089610672567,0.05074748006427124,0.4926528232336965,ENSG00000108510
OTUD4,1055.8145578077128,-0.12006152576844262,0.14806254366187488,-0.8108838521822428,0.4174323743502403,0.9006883537427229,ENSG00000164164
SEC24A,605.0685802601226,0.3207721632714282,0.14770250892442272,2.171744851237177,0.029874913483599094,0.38388902144663534,ENSG00000113615
TIRAP,52.9365625396052,-0.22275653437931198,0.3804894694993658,-0.5854473046846919,0.5582469890459975,0.9403621925731008,ENSG00000150455
SDHAF3,146.78237254388,0.18529652305842131,0.2636296392242414,0.702866808161921,0.48213875784494836,0.91687143182612,ENSG00000196636
ABITRAM,361.01710112789135,-0.18968254505363683,0.18714892326263338,-1.013537998225338,0.31080325579798745,0.8481828309152826,ENSG00000119328
ATG3,710.517059876278,-0.17168514486181943,0.1670919915199553,-1.0274887701085038,0.30419037066504145,0.8455871398722212,ENSG00000144848
FAR2,25.571309857020385,-0.41040983753718924,0.6116993088193114,-0.6709339566352516,0.5022626031852382,0.9223974696731195,ENSG00000064763
NRXN3,9.463762402411554,0.32510599893484676,0.8977002672853353,0.3621542855478636,0.717236738928885,0.9704204559779693,ENSG00000021645
RGL1,59.783104552048506,-0.11642035211417917,0.33634043775313105,-0.34613843310636944,0.7292386811381286,0.9736022599368351,ENSG00000143344
